,old_addr_idx,actual,area,floor,거래날짜,complex_name,거래날짜,시군구,주소,읍면동
2184966,1121510300_00680_00000_apartment,1600000000,35.13539393939394,24,2022-10-23,e편한세상광진그랜드파크,2022-10-23,,680,구의동
2184993,1129013300_00150_00027_apartment,193000000,3.893939393939394,10,2022-10-03,갤럭시더정릉,2022-10-03,,150-27,정릉동
2185033,1141011000_00149_00000_apartment,1240000000,18.136363636363637,2,2022-10-29,e편한세상신촌3단지,2022-10-29,서울 서대문구,149,북아현동
2200659,1141011000_00149_00000_apartment,1100000000,18.136363636363637,17,2022-11-05,e편한세상신촌2단지,2022-11-05,서울 서대문구,149,북아현동
2185118,1168010100_00902_00000_apartment,3000000000,25.731818181818184,8,2022-10-06,강남센트럴아이파크,2022-10-06,"서울 강남구, 서울 송파구",902,역삼동
2185163,2620010100_00176_00000_apartment,307400000,14.425,8,2022-10-14,어반젠트리,2022-10-14,,176,대교동1가
2185188,2626010100_00612_00003_apartment,227000000,13.336363636363636,1,2022-10-27,안락시영(충렬),2022-10-27,부산 남구,612-3,명장동
2185274,2714010100_00181_00001_apartment,432000000,25.71869696969697,14,2022-10-05,이안동대구,2022-10-05,대구 동구,181-1,신암동
2185280,2714010100_01840_00000_apartment,445000000,18.178424242424242,10,2022-10-30,동대구이안센트럴D,2022-10-30,대구 동구,1840,신암동
2185292,2720010300_01959_00027_apartment,423700000,22.826545454545457,17,2022-10-14,교대역하늘채뉴센트원,2022-10-14,대구 남구,1959-27,대명동
2185310,2726010100_02277_00000_apartment,770000000,25.745454545454546,18,2022-10-13,힐스테이트범어센트럴,2022-10-13,대구 수성구,2277,범어동
2185323,2811012600_00034_00034_apartment,400000000,21.075757575757574,14,2022-10-20,품에지은2차,2022-10-20,,34-34,신흥동1가
2185363,2824510100_00677_00000_apartment,550000000,25.736333333333334,1,2022-10-15,e편한세상 계양 더프리미어,2022-10-15,인천 계양구,677,효성동
2185453,3111010300_00186_00001_apartment,233000000,25.69090909090909,10,2022-10-01,해동성지,2022-10-01,울산 중구,186-1,복산동
